"IDCycle","Department","DataSource","Municipality","Longitude.DD","Latitude.DD","Altitude.masl","LotArea.m2","CycleDuration.days","Density.plants.m2","Yield.kg.m2","IrrigVolumen.l.m2","Rainfall.mm","TotalN.kg.m2","P2O5.kg.m2","K2O.kg.m2"
"P47","Boyaca","Survey","Sutamarchan",-73.58427,5.67583,2150,1400,122,3.4,11.43,1142.4,0,0.09763,0.1025,0.21693
"P48","Boyaca","Survey","SantaSofia",-73.59049,5.70254,2354,2800,153,2.9,9.29,493.63,0,0.0637,0.05493,0.04649
"P49","Boyaca","Survey","SantaSofia",-73.59829,5.7234,2350,2450,184,2.9,8.16,162,0,0.04824,0.05333,0.0897
"P5","Boyaca","Survey","SantaSofia",-73.59328,5.72751,2155,2800,181,2.9,7.14,320.64,0,0.0543,0.11503,0.0442
"P51","Boyaca","Survey","VillaDeLeyva",-73.57224,5.65348,2110,5600,244,2.7,8.3,270.01,0,0.04434,0.04311,0.0623
"P52","Boyaca","Survey","VillaDeLeyva",-73.5813,5.65968,2082,2240,183,3.1,7.59,483.28,0,0.1233,0.1053,0.1258
"P53","Boyaca","Survey","VillaDeLeyva",-73.58842,5.65169,2084,1680,183,3,17.86,268.6,0,0.0793,0.06668,0.11018
"P54","Boyaca","Survey","VillaDeLeyva",-73.58807,5.6524,2100,2400,122,2.1,13.33,326.59,0,0.063,0.106,0.136
"P55","Boyaca","Survey","SantaSofia",-73.59352,5.69151,2254,2016,183,3.7,13.89,259.2,0,0.02357,0.03265,0.03658
"P56","Boyaca","Survey","VillaDeLeyva",-73.57323,5.65839,2106,3360,183,2.2,8.33,604.7,0,0.07746,0.07338,0.13789
"P57","Boyaca","Survey","SantaSofia",-73.59354,5.68215,2260,1500,212,3.3,10.67,1751.04,0,0.079,0.16956,0.116
"P59","Boyaca","Survey","VillaDeLeyva",-73.57273,5.6578,2080,2240,181,2.7,7.14,514.08,0,0.02349,0.03993,0.03891
"P6","Boyaca","Survey","SantaSofia",-73.60337,5.70499,2393,875,181,3.2,19.43,399.89,0,0.1215,0.1686,0.1973
"P60","Boyaca","Survey","VillaDeLeyva",-73.56709,5.65957,2097,2520,183,3.6,7.94,1944,0,0.08191,0.06667,0.13743
"P61","Boyaca","Survey","VillaDeLeyva",-73.5709,5.65614,2090,3920,243,1.8,5.61,639.74,0,0.10165,0.07759,0.09947
"P62","Boyaca","Survey","SantaSofia",-73.5899,5.6942,2389,1932,181,3.5,11.65,686.66,0,0.07171,0.06523,0.12196
"P63","Boyaca","Survey","VillaDeLeyva",-73.57175,5.64009,2094,2550,181,3.6,14.12,293.72,0,0.1338,0.21,0.214
"P64","Boyaca","Survey","VillaDeLeyva",-73.56421,5.64032,2110,2800,184,3.2,8.93,879.28,0,0.05085,0.0665,0.06057
"P66","Boyaca","Survey","SantaSofia",-73.60496,5.77609,2253,4480,183,2.5,6.14,360.76,0,0.031,0.04513,0.05688
"P67","Boyaca","Survey","VillaDeLeyva",-73.57495,5.64078,2268,1960,304,3.1,3.32,493.63,0,0.11691,0.1237,0.1557
"P68","Boyaca","Survey","SantaSofia",-73.58733,5.68364,2218,1680,151,2.8,10.12,518.4,0,0.1472,0.1261,0.2487
"P69","Boyaca","Survey","SantaSofia",-73.59773,5.6812,2286,1750,212,3.6,10.29,529.5,0,0.0687,0.11781,0.1169
"P70","Boyaca","Survey","VillaDeLeyva",-73.57178,5.66046,2086,3360,184,3.3,14.29,158.76,0,0.07793,0.0598,0.09857
"P73","Boyaca","Survey","VillaDeLeyva",-73.57442,5.67136,2092,3060,181,3.3,3.92,230.4,0,0.11181,0.08297,0.1239
"P74","Boyaca","Survey","VillaDeLeyva",-73.58657,5.65604,2108,1680,183,3.3,19.05,455.11,0,0.04395,0.04011,0.07354
"P76","Boyaca","Survey","VillaDeLeyva",-73.56768,5.63221,2101,1680,212,2.7,16.67,1462.05,0,0.11209,0.09021,0.17452
"P77","Boyaca","Survey","VillaDeLeyva",-73.53648,5.61847,2175,3360,243,2.4,8.93,403.14,0,0.067,0.0645,0.1055
"P78","Boyaca","Survey","VillaDeLeyva",-73.55772,5.62729,2115,2240,151,2.7,13.39,431.93,0,0.01833,0.02902,0.04584
"P79","Boyaca","Survey","VillaDeLeyva",-73.56076,5.63854,2106,2520,151,3.2,10.15,264.44,0,0.05566,0.06872,0.07751
"P8","Boyaca","Survey","SantaSofia",-73.59074,5.72507,2126,2450,184,2.7,6.43,388.8,0,0.03262,0.02117,0.01472
"P80","Boyaca","Survey","SantaSofia",-73.60698,5.74306,2343,1470,181,3.4,6.8,240.65,0,0.0714,0.0775,0.0579
"P81","Boyaca","Survey","Tinjaca",-73.66138,5.56528,2150,4165,244,3.4,4.8,493.63,0,0.08343,0.06538,0.07145
"P82","Boyaca","Survey","Tinjaca",-73.69736,5.55933,2329,1260,151,2.8,19.05,239.82,0,0.0997,0.16201,0.1121
"P83","Boyaca","Survey","Tinjaca",-73.66385,5.55791,2140,4410,182,3.4,13.61,561.51,0,0.05104,0.0492,0.07565
"P84","Boyaca","Survey","Tinjaca",-73.709,5.56983,2451,1260,214,3.4,3.97,499.92,0,0.09629,0.09003,0.129
"P85","Boyaca","Survey","Tinjaca",-73.7142,5.56935,2554,945,181,3.2,8.68,357.88,0,0.08012,0.08078,0.1095
"P86","Boyaca","Survey","Tinjaca",-73.63508,5.60403,2128,1680,184,3.6,14.29,518.31,0,0.09686,0.16186,0.1922
"P87","Boyaca","Survey","VillaDeLeyva",-73.56599,5.66541,2133,1680,184,3.8,15.48,1101.6,0,0.11116,0.08404,0.13921
"P88","Boyaca","Survey","VillaDeLeyva",-73.56096,5.66328,2185,3360,243,3.2,5.95,1621.62,0,0.04716,0.03711,0.04574
"P89","Boyaca","Survey","VillaDeLeyva",-73.57362,5.67296,2097,1218,215,2.9,12.32,695.52,0,0.10588,0.0834,0.11
"P9","Boyaca","Survey","SantaSofia",-73.58957,5.72636,2109,2400,183,3.5,10.5,117.94,0,0.1657,0.1134,0.1918
"P90","Boyaca","Survey","VillaDeLeyva",-73.55704,5.66613,2232,1400,151,3.6,28.57,352.8,0,0.04329,0.05516,0.06719
"P93","Boyaca","Survey","SantaSofia",-73.58553,5.71136,2260,1260,151,3.2,11.11,745.2,0,0.11362,0.15967,0.15242
"P94","Boyaca","Survey","SantaSofia",-73.58734,5.70995,2263,2240,214,1.8,6.25,705.6,0,0.0618,0.0465,0.0863
"P96","Boyaca","Survey","VillaDeLeyva",-73.55814,5.64692,2110,3360,214,3,11.01,1572.48,0,0.03996,0.03468,0.02391
"P97","Boyaca","Survey","VillaDeLeyva",-73.56473,5.64651,2092,1260,120,3.1,9.52,230.4,0,0.03902,0.05471,0.05645
"P98","Boyaca","Survey","VillaDeLeyva",-73.56565,5.64313,2093,4480,184,3.1,5.58,360.36,0,0.03692,0.02898,0.0543
"P99","Boyaca","Survey","VillaDeLeyva",-73.5667,5.65909,2106,700,123,3.6,11.43,259.2,0,0.0624,0.0678,0.111
"P15_L-01_1","Boyaca","FollowUps","SantaSofia",-73.60014,5.73195,2336,2835,152,3.9,8.09,585.95,0,0.05316,0.06761,0.10189
"P15_L-01_2","Boyaca","FollowUps","SantaSofia",-73.60014,5.73195,2336,2835,149,3.9,2.68,294.31,0,0.01839,0.03395,0.03463
"P15_L-01_3","Boyaca","FollowUps","SantaSofia",-73.60014,5.73195,2336,2835,141,3.5,2.45,549.67,0,0.03612,0.02741,0.08137
"P15_L-01_4","Boyaca","FollowUps","SantaSofia",-73.60014,5.73195,2336,2835,118,3.9,4.37,327.13,0,0.01217,0.00754,0.02113
"P15_L-03_1","Boyaca","FollowUps","SantaSofia",-73.60014,5.73195,2336,6300,151,3,5.01,199.36,0,0.0131,0.01483,0.01353
"P162_L-01_1","Boyaca","FollowUps","Sutamarchan",-73.6144,5.62347,2112,3925,165,2.8,12.03,497.5,0,0.01412,0.00792,0.02519
"P162_L-01_2","Boyaca","FollowUps","Sutamarchan",-73.6144,5.62347,2112,3925,184,2.8,7.91,489.34,0,0.018,0.01615,0.04023
"P162_L-01_3","Boyaca","FollowUps","Sutamarchan",-73.6144,5.62347,2112,3925,140,3.3,3.7,541.67,0,0.00608,0.00959,0.02662
"P162_L-01_4","Boyaca","FollowUps","Sutamarchan",-73.6144,5.62347,2112,3925,190,3.3,11.95,461.3,0,0.03279,0.05656,0.05144
"P167_L-01_1","Boyaca","FollowUps","VillaDeLeyva",-73.55084,5.62346,2113,2000,172,3,9.11,498.33,0,0.04578,0.01519,0.11478
"P167_L-01_2","Boyaca","FollowUps","VillaDeLeyva",-73.55084,5.62346,2113,4161,182,2.9,7.11,529.93,0,0.04528,0.01495,0.1175
"P167_L-01_3","Boyaca","FollowUps","VillaDeLeyva",-73.55084,5.62346,2113,4161,143,2.9,2.55,473.78,0,0.01796,0.00596,0.04339
"P167_L-01_4","Boyaca","FollowUps","VillaDeLeyva",-73.55084,5.62346,2113,4161,145,3,5.2,318.62,0,0.02796,0.00945,0.04544
